
============================================================
  [watchdog] Starting forecaster (inner attempt 1/3)
============================================================
  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  [CData] priming session (getInstructions) ...
  [CData] session ready.
  Manual projection columns: 05_24_W1 -> 11_15_W26

[1/4] Pulling projections from Quickbase ...
      [QB REST] fetching field map ...
      [WARN] 1 columns absent from QB field map (first 5: ['UPSPW'])
      130 records retrieved (QB REST API)

[1.5] Amazon switchover auto-link + Switchover_Date backfill ...

[2/4] Pulling master pack + Season from Styles ...
      [QB REST] fetching Styles field map ...
      130 master pack records loaded (0 with Season tag) (QB REST API)

[2.6c] Retailer POS + OH: fetching for 130 non-Amazon mstyles ...
      49 acct-mstyle combos with retailer POS data

[2.6d] Pulling Inventory Flow (Beg Inv + Recpts + OpenPOs + LT) for 130 mstyles ...
      130 mstyles with Inv Flow data loaded (QB REST API)

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 130 keys (w1_date=2026-05-24) ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 10,276 rows in 3.9s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 173 in-scope rows across 46 keys (skipped: 10,101 out-of-scope · 0 zero-qty · 0 no-date · 2 outside-26w)
      46 keys have confirmed forward POs (total open qty: 231,266 units)

[2.9] VP-ATS: fetching ATS L26W history for 130 mstyles ...
      [vp-ats] fetching ATS L26W history from bv2sxg2ji (130 mstyles) ...
      [vp-ats] 18 mstyles with ATS history loaded  (982 filtered out)
      18 mstyles loaded, 18 with at least one non-zero ATS week
      Mstyle-family index: 115 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 96.2)
      Account-cadence    : 1 accounts indexed

[3/4] Running forecasts ...

[2.9] F60 -- EC transition history inheritance ...
      0 EC variants inherited parent history

[2.9b] F69 — DI direct-import sibling history pull ...
      0 DI sibling variant(s) blended into 0 base record(s)
  [watchdog] still running -- 1s since last output | last:       0 DI sibling variant(s) blended into 0 base record(s)
  [F58] Loaded 19 active AI adjustments (last 60 days)
      130 forecasts complete in 2.7s
      Croston's: 3  Heuristic: 2  Inactive: 14  Inactive+Floor: 3  Inactive+S6 (off-price): 1  OTB (zero): 38  Pre-launch NEW (manual passthrough): 4  Reactivating: 5  Seasonal Baseline: 1  Sparse Intermittent: 59  Bi-weekly enforced: 5  Alerts (>7.5%): 114
      [cat-profile gate] 6 profile(s) rejected by SKU gate (need >7 consistent SKUs):
        P2-subcategory 'Cleaning Tools||Microfiber Cloths'      n_skus=5 (filtered 9 records)
        P2-subcategory 'Cleaning Tools||Sponge'                 n_skus=7 (filtered 6 records)
        P2-subcategory 'Air Care||Aerosol'                      n_skus=7 (filtered 4 records)
        P2-subcategory 'Grooming||Paw Care'                     n_skus=3 (filtered 1 records)
        P2-subcategory 'Training||Spray'                        n_skus=4 (filtered 1 records)
        P3-category 'Training'                               n_skus=4 (filtered 1 records)
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  130 records  |  Total 26w demand: 492,988
  Man 13640-FF30758             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF5777                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF5777              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0707                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB0707              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB21038               0    0    0   96    0    0    0   96    0    0    0   96    0    0    0   96    0    0    0   96    0    0    0  120    0    0      23  +0.0% 
  Man 13640-BB21038               0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0      23
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30050               0    0    0   96    0    0    0   96    0    0    0   96    0    0    0   96    0    0    0    0    0    0    0  120    0    0      19  +0.8% 
  Man 13640-BB30050               0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0    0    0    0    0  100    0    0      19
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30188               0    0    0   96    0    0    0   96    0    0    0   96    0    0    0  108    0    0    0    0    0    0    0    0    0    0      15  +1.0% 
  Man 13640-BB30188               0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0    0    0    0    0    0    0    0      15
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB30189               0    0    0   96    0    0    0   96    0    0    0   96    0    0    0   96    0    0    0   96    0    0    0  120    0    0      23  +0.0% 
  Man 13640-BB30189               0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0    0  100    0    0      23
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33877               0    0    0    0    0  756    0    0    0    0    0    0    0    0  750    0    0    0    0    0    0    0    0    0    0    0      58  +49.8% 
  Man 13640-FF33877               0    0  600    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33876               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF33876               0    0  600    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF38488               0    0    0    0    0    0 2412    0    0    0    0    0    0    0 2412    0    0    0    0    0    0    0 2412    0    0    0     278  +101.0% 
  Man 13640-FF38488               0    0    0    0    0    0    0    0    0    0 1200    0    0    0    0 1200    0    0    0 1200    0    0    0    0    0    0     138
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33872              24    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       1  +98.8% 
  Man 13640-FF33872               0    0  400    0    0    0  400    0    0    0  400    0    0    0    0  400    0    0    0  400    0    0    0    0    0    0      77
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF37778               0    0    0    0    0 3546    0    0    0    0    0    0 3546    0    0    0    0    0    0 3546    0    0    0    0    0    0     409  +121.6% 
  Man 13640-FF37778               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     185
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33495               0    0    0    0    0    0 2944    0    0    0    0    0    0    0    0    0 2936    0    0    0    0    0    0    0    0    0     226  +2.0% 
  Man 13640-FF33495               0    0    0    0    0    0 1500    0    0    0 1500    0    0    0    0 1500    0    0    0 1500    0    0    0    0    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33641               0    0    0    0    0    0 1056    0    0    0    0    0    0    0    0    0 1050    0    0    0    0    0    0    0    0    0      81  +12.2% 
  Man 13640-FF33641               0    0    0    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF8287                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  240    0    0    0  180    0    0      16  +72.0% 
  Man 13640-FF8287                0    0  300    0    0    0  300    0    0    0  300    0    0    0    0  300    0    0    0  300    0    0    0    0    0    0      58
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF38675               0  258    0    0    0  258    0    0    0  258    0    0    0  258    0    0    0  258    0    0    0  258    0    0    0  276      70  +75.7% 
  Man 13640-FF38675               0  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300     288
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF38677             180    0    0    0  180    0    0    0  180    0    0    0  180    0    0    0  180    0    0    0  180    0    0    0  192    0      49  +83.7% 
  Man 13640-FF38677             300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300  300     300
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF37779               0    0    0    0    0  804    0    0    0    0    0    0    0    0    0  804    0    0    0    0    0    0    0    0    0    0      62  +35.7% 
  Man 13640-FF37779               0    0  500    0    0    0  500    0    0    0  500    0    0    0    0  500    0    0    0  500    0    0    0    0    0    0      96
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF37780               0    0    0    0    0    0 1800    0    0    0    0    0    0    0 1800    0    0    0 1800    0    0    0    0    0    0 1800     277  +200.0% [BW]
  Man 13640-FF37780               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 1200    0    0    0 1200    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF28036               0    0    0    0    0    0    0    0 1680    0    0    0    0    0    0    0    0    0    0 1680    0    0    0    0    0    0     129  +6.7% 
  Man 13640-FF28036               0    0    0    0    0    0    0 1800    0    0    0    0    0    0    0    0 1800    0    0    0    0    0    0    0    0    0     138
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF7112                0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0      92  +0.0% 
  Man 13640-FF7112                0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0      92
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF36294               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   48    0    0    0   36    0    0       3  +86.0% 
  Man 13640-FF36294               0    0    0    0    0    0    0  600    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      23
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF36295               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   48    0    0    0   36    0    0       3  +86.0% 
  Man 13640-FF36295               0    0    0    0    0    0    0  600    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      23
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF28457               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF28457             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB36234               0    0    0 2532    0    0    0    0    0    0 2532    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     195  +62.5% 
  Man 13640-BB36234               0    0    0    0    0    0    0    0  750  750  750  750  750  750  750  750  750  750  750  750  750  750  750  750  750  750     519
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB36235               0    0    0 1920    0    0    0    0    0    0 1920    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     148  +53.5% 
  Man 13640-BB36235               0    0    0    0  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375  375     317
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB36237               0    0    0 1320    0    0    0    0    0    0 1320    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0     102  +76.0% 
  Man 13640-BB36237               0    0    0    0  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500  500     423
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF33871               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   96    0    0    0   72    0    0       6  +86.0% 
  Man 13640-FF33871               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------



  [watchdog] Forecaster completed (exit 0).

  [outer-retry] SUCCESS on outer attempt 1.
